"ID";"TypesOfVehicle";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6"
"63";"A018935";"1991JJ00";"  8571.0";"  8324.0";"   246.0";"  8672.0";"  8324.0";"   347.0"
"64";"A018935";"1992JJ00";"  9518.0";"  9235.0";"   283.0";"  9621.0";"  9235.0";"   386.0"
"65";"A018935";"1993JJ00";" 10475.0";" 10156.0";"   319.0";" 10580.0";" 10156.0";"   423.0"
"66";"A018935";"1994JJ00";" 10551.0";" 10216.0";"   334.0";" 10643.0";" 10216.0";"   426.0"
"67";"A018935";"1995JJ00";" 10562.0";" 10214.0";"   347.0";" 10641.0";" 10214.0";"   425.0"
"68";"A018935";"1996JJ00";" 10938.0";" 10564.0";"   372.0";" 11004.0";" 10564.0";"   440.0"
"69";"A018935";"1997JJ00";" 11728.0";" 11315.0";"   413.0";" 11787.0";" 11315.0";"   471.0"
"70";"A018935";"1998JJ00";" 12771.0";" 12306.0";"   465.0";" 12819.0";" 12306.0";"   512.0"
"71";"A018935";"1999JJ00";" 14018.0";" 13490.0";"   528.0";" 14054.0";" 13490.0";"   562.0"
"72";"A018935";"2000JJ00";" 15351.0";" 14753.0";"   596.0";" 15369.0";" 14753.0";"   615.0"
"73";"A018935";"2001JJ00";" 16398.8";" 15742.9";"   656.0";" 16398.8";" 15742.9";"   656.0"
"74";"A018935";"2002JJ00";" 16613.7";" 15949.2";"   664.5";" 16613.7";" 15949.2";"   664.5"
"75";"A018935";"2003JJ00";" 17010.2";" 16329.8";"   680.4";" 17010.2";" 16329.8";"   680.4"
"76";"A018935";"2004JJ00";" 17721.3";" 17012.5";"   708.9";" 17721.3";" 17012.5";"   708.9"
"77";"A018935";"2005JJ00";" 17908.7";" 17192.3";"   716.3";" 17908.7";" 17192.3";"   716.3"
"78";"A018935";"2006JJ00";" 17253.1";" 16562.9";"   690.1";" 17253.1";" 16562.9";"   690.1"
"79";"A018935";"2007JJ00";" 17567.7";" 16865.0";"   702.7";" 17567.7";" 16865.0";"   702.7"
"80";"A018935";"2008JJ00";" 17859.3";" 17144.9";"   714.4";" 17859.3";" 17144.9";"   714.4"
"81";"A018935";"2009JJ00";" 17407.0";" 16710.7";"   696.3";" 17407.0";" 16710.7";"   696.3"
"82";"A018935";"2010JJ00";" 17287.3";" 16595.8";"   691.5";" 17287.3";" 16595.8";"   691.5"
"83";"A018935";"2011JJ00";" 17056.1";" 16373.9";"   682.2";" 17056.1";" 16373.9";"   682.2"
"84";"A018935";"2012JJ00";" 16649.0";" 15983.0";"   666.0";" 16649.0";" 15983.0";"   666.0"
"85";"A018935";"2013JJ00";" 16309.2";" 15656.8";"   652.4";" 16309.2";" 15656.8";"   652.4"
"86";"A018935";"2014JJ00";" 16295.5";" 15643.7";"   651.8";" 16295.5";" 15643.7";"   651.8"
"87";"A018935";"2015JJ00";" 16544.3";" 15882.5";"   661.8";" 16544.3";" 15882.5";"   661.8"
"88";"A018935";"2016JJ00";" 17144.3";" 16407.1";"   737.2";" 17144.3";" 16407.1";"   737.2"
"89";"A018935";"2017JJ00";" 17668.4";" 16908.7";"   759.7";" 17668.4";" 16908.7";"   759.7"
"90";"A018935";"2018JJ00";" 18217.0";" 17470.1";"   746.9";" 18217.0";" 17470.1";"   746.9"
"91";"A018935";"2019JJ00";" 18683.4";" 17898.7";"   784.7";" 18683.4";" 17898.7";"   784.7"
"92";"A018935";"2020JJ00";" 18107.8";" 17365.4";"   742.4";" 18107.8";" 17365.4";"   742.4"
"93";"A018936";"1990JJ00";"  3403.0";"  3230.0";"   173.0";"  4260.0";"  3230.0";"  1030.0"
"94";"A018936";"1991JJ00";"  3588.0";"  3400.0";"   188.0";"  4530.0";"  3400.0";"  1130.0"
"95";"A018936";"1992JJ00";"  3720.0";"  3530.0";"   190.0";"  4710.0";"  3530.0";"  1180.0"
"96";"A018936";"1993JJ00";"  3599.0";"  3410.0";"   189.0";"  4610.0";"  3410.0";"  1200.0"
"97";"A018936";"1994JJ00";"  3624.0";"  3460.0";"   164.0";"  4530.0";"  3460.0";"  1070.0"
"98";"A018936";"1995JJ00";"  3726.0";"  3564.0";"   162.0";"  4667.0";"  3564.0";"  1102.0"
"99";"A018936";"1996JJ00";"  3583.0";"  3429.0";"   154.0";"  4489.0";"  3429.0";"  1061.0"
"100";"A018936";"1997JJ00";"  3590.0";"  3440.0";"   150.0";"  4504.0";"  3440.0";"  1064.0"
